k,h,maximum_TV,epsilon,share_check_automatically_satisfied
1,1,0.5,0.05,False
1,1,0.5,0.1,False
1,1,0.5,0.2,False
1,2,0.666666666667,0.05,False
1,2,0.666666666667,0.1,False
1,2,0.666666666667,0.2,False
1,3,0.75,0.05,False
1,3,0.75,0.1,False
1,3,0.75,0.2,False
1,5,0.833333333333,0.05,False
1,5,0.833333333333,0.1,False
1,5,0.833333333333,0.2,False
2,1,0.333333333333,0.05,False
2,1,0.333333333333,0.1,False
2,1,0.333333333333,0.2,False
2,2,0.5,0.05,False
2,2,0.5,0.1,False
2,2,0.5,0.2,False
2,3,0.6,0.05,False
2,3,0.6,0.1,False
2,3,0.6,0.2,False
2,5,0.714285714286,0.05,False
2,5,0.714285714286,0.1,False
2,5,0.714285714286,0.2,False
3,1,0.25,0.05,False
3,1,0.25,0.1,False
3,1,0.25,0.2,False
3,2,0.4,0.05,False
3,2,0.4,0.1,False
3,2,0.4,0.2,False
3,3,0.5,0.05,False
3,3,0.5,0.1,False
3,3,0.5,0.2,False
3,5,0.625,0.05,False
3,5,0.625,0.1,False
3,5,0.625,0.2,False
4,1,0.2,0.05,False
4,1,0.2,0.1,False
4,1,0.2,0.2,True
4,2,0.333333333333,0.05,False
4,2,0.333333333333,0.1,False
4,2,0.333333333333,0.2,False
4,3,0.428571428571,0.05,False
4,3,0.428571428571,0.1,False
4,3,0.428571428571,0.2,False
4,5,0.555555555556,0.05,False
4,5,0.555555555556,0.1,False
4,5,0.555555555556,0.2,False
5,1,0.166666666667,0.05,False
5,1,0.166666666667,0.1,False
5,1,0.166666666667,0.2,True
5,2,0.285714285714,0.05,False
5,2,0.285714285714,0.1,False
5,2,0.285714285714,0.2,False
5,3,0.375,0.05,False
5,3,0.375,0.1,False
5,3,0.375,0.2,False
5,5,0.5,0.05,False
5,5,0.5,0.1,False
5,5,0.5,0.2,False
6,1,0.142857142857,0.05,False
6,1,0.142857142857,0.1,False
6,1,0.142857142857,0.2,True
6,2,0.25,0.05,False
6,2,0.25,0.1,False
6,2,0.25,0.2,False
6,3,0.333333333333,0.05,False
6,3,0.333333333333,0.1,False
6,3,0.333333333333,0.2,False
6,5,0.454545454545,0.05,False
6,5,0.454545454545,0.1,False
6,5,0.454545454545,0.2,False
7,1,0.125,0.05,False
7,1,0.125,0.1,False
7,1,0.125,0.2,True
7,2,0.222222222222,0.05,False
7,2,0.222222222222,0.1,False
7,2,0.222222222222,0.2,False
7,3,0.3,0.05,False
7,3,0.3,0.1,False
7,3,0.3,0.2,False
7,5,0.416666666667,0.05,False
7,5,0.416666666667,0.1,False
7,5,0.416666666667,0.2,False
8,1,0.111111111111,0.05,False
8,1,0.111111111111,0.1,False
8,1,0.111111111111,0.2,True
8,2,0.2,0.05,False
8,2,0.2,0.1,False
8,2,0.2,0.2,True
8,3,0.272727272727,0.05,False
8,3,0.272727272727,0.1,False
8,3,0.272727272727,0.2,False
8,5,0.384615384615,0.05,False
8,5,0.384615384615,0.1,False
8,5,0.384615384615,0.2,False
9,1,0.1,0.05,False
9,1,0.1,0.1,True
9,1,0.1,0.2,True
9,2,0.181818181818,0.05,False
9,2,0.181818181818,0.1,False
9,2,0.181818181818,0.2,True
9,3,0.25,0.05,False
9,3,0.25,0.1,False
9,3,0.25,0.2,False
9,5,0.357142857143,0.05,False
9,5,0.357142857143,0.1,False
9,5,0.357142857143,0.2,False
10,1,0.0909090909091,0.05,False
10,1,0.0909090909091,0.1,True
10,1,0.0909090909091,0.2,True
10,2,0.166666666667,0.05,False
10,2,0.166666666667,0.1,False
10,2,0.166666666667,0.2,True
10,3,0.230769230769,0.05,False
10,3,0.230769230769,0.1,False
10,3,0.230769230769,0.2,False
10,5,0.333333333333,0.05,False
10,5,0.333333333333,0.1,False
10,5,0.333333333333,0.2,False
11,1,0.0833333333333,0.05,False
11,1,0.0833333333333,0.1,True
11,1,0.0833333333333,0.2,True
11,2,0.153846153846,0.05,False
11,2,0.153846153846,0.1,False
11,2,0.153846153846,0.2,True
11,3,0.214285714286,0.05,False
11,3,0.214285714286,0.1,False
11,3,0.214285714286,0.2,False
11,5,0.3125,0.05,False
11,5,0.3125,0.1,False
11,5,0.3125,0.2,False
12,1,0.0769230769231,0.05,False
12,1,0.0769230769231,0.1,True
12,1,0.0769230769231,0.2,True
12,2,0.142857142857,0.05,False
12,2,0.142857142857,0.1,False
12,2,0.142857142857,0.2,True
12,3,0.2,0.05,False
12,3,0.2,0.1,False
12,3,0.2,0.2,True
12,5,0.294117647059,0.05,False
12,5,0.294117647059,0.1,False
12,5,0.294117647059,0.2,False
13,1,0.0714285714286,0.05,False
13,1,0.0714285714286,0.1,True
13,1,0.0714285714286,0.2,True
13,2,0.133333333333,0.05,False
13,2,0.133333333333,0.1,False
13,2,0.133333333333,0.2,True
13,3,0.1875,0.05,False
13,3,0.1875,0.1,False
13,3,0.1875,0.2,True
13,5,0.277777777778,0.05,False
13,5,0.277777777778,0.1,False
13,5,0.277777777778,0.2,False
14,1,0.0666666666667,0.05,False
14,1,0.0666666666667,0.1,True
14,1,0.0666666666667,0.2,True
14,2,0.125,0.05,False
14,2,0.125,0.1,False
14,2,0.125,0.2,True
14,3,0.176470588235,0.05,False
14,3,0.176470588235,0.1,False
14,3,0.176470588235,0.2,True
14,5,0.263157894737,0.05,False
14,5,0.263157894737,0.1,False
14,5,0.263157894737,0.2,False
15,1,0.0625,0.05,False
15,1,0.0625,0.1,True
15,1,0.0625,0.2,True
15,2,0.117647058824,0.05,False
15,2,0.117647058824,0.1,False
15,2,0.117647058824,0.2,True
15,3,0.166666666667,0.05,False
15,3,0.166666666667,0.1,False
15,3,0.166666666667,0.2,True
15,5,0.25,0.05,False
15,5,0.25,0.1,False
15,5,0.25,0.2,False
16,1,0.0588235294118,0.05,False
16,1,0.0588235294118,0.1,True
16,1,0.0588235294118,0.2,True
16,2,0.111111111111,0.05,False
16,2,0.111111111111,0.1,False
16,2,0.111111111111,0.2,True
16,3,0.157894736842,0.05,False
16,3,0.157894736842,0.1,False
16,3,0.157894736842,0.2,True
16,5,0.238095238095,0.05,False
16,5,0.238095238095,0.1,False
16,5,0.238095238095,0.2,False
17,1,0.0555555555556,0.05,False
17,1,0.0555555555556,0.1,True
17,1,0.0555555555556,0.2,True
17,2,0.105263157895,0.05,False
17,2,0.105263157895,0.1,False
17,2,0.105263157895,0.2,True
17,3,0.15,0.05,False
17,3,0.15,0.1,False
17,3,0.15,0.2,True
17,5,0.227272727273,0.05,False
17,5,0.227272727273,0.1,False
17,5,0.227272727273,0.2,False
18,1,0.0526315789474,0.05,False
18,1,0.0526315789474,0.1,True
18,1,0.0526315789474,0.2,True
18,2,0.1,0.05,False
18,2,0.1,0.1,True
18,2,0.1,0.2,True
18,3,0.142857142857,0.05,False
18,3,0.142857142857,0.1,False
18,3,0.142857142857,0.2,True
18,5,0.217391304348,0.05,False
18,5,0.217391304348,0.1,False
18,5,0.217391304348,0.2,False
19,1,0.05,0.05,True
19,1,0.05,0.1,True
19,1,0.05,0.2,True
19,2,0.0952380952381,0.05,False
19,2,0.0952380952381,0.1,True
19,2,0.0952380952381,0.2,True
19,3,0.136363636364,0.05,False
19,3,0.136363636364,0.1,False
19,3,0.136363636364,0.2,True
19,5,0.208333333333,0.05,False
19,5,0.208333333333,0.1,False
19,5,0.208333333333,0.2,False
20,1,0.047619047619,0.05,True
20,1,0.047619047619,0.1,True
20,1,0.047619047619,0.2,True
20,2,0.0909090909091,0.05,False
20,2,0.0909090909091,0.1,True
20,2,0.0909090909091,0.2,True
20,3,0.130434782609,0.05,False
20,3,0.130434782609,0.1,False
20,3,0.130434782609,0.2,True
20,5,0.2,0.05,False
20,5,0.2,0.1,False
20,5,0.2,0.2,True
21,1,0.0454545454545,0.05,True
21,1,0.0454545454545,0.1,True
21,1,0.0454545454545,0.2,True
21,2,0.0869565217391,0.05,False
21,2,0.0869565217391,0.1,True
21,2,0.0869565217391,0.2,True
21,3,0.125,0.05,False
21,3,0.125,0.1,False
21,3,0.125,0.2,True
21,5,0.192307692308,0.05,False
21,5,0.192307692308,0.1,False
21,5,0.192307692308,0.2,True
22,1,0.0434782608696,0.05,True
22,1,0.0434782608696,0.1,True
22,1,0.0434782608696,0.2,True
22,2,0.0833333333333,0.05,False
22,2,0.0833333333333,0.1,True
22,2,0.0833333333333,0.2,True
22,3,0.12,0.05,False
22,3,0.12,0.1,False
22,3,0.12,0.2,True
22,5,0.185185185185,0.05,False
22,5,0.185185185185,0.1,False
22,5,0.185185185185,0.2,True
23,1,0.0416666666667,0.05,True
23,1,0.0416666666667,0.1,True
23,1,0.0416666666667,0.2,True
23,2,0.08,0.05,False
23,2,0.08,0.1,True
23,2,0.08,0.2,True
23,3,0.115384615385,0.05,False
23,3,0.115384615385,0.1,False
23,3,0.115384615385,0.2,True
23,5,0.178571428571,0.05,False
23,5,0.178571428571,0.1,False
23,5,0.178571428571,0.2,True
24,1,0.04,0.05,True
24,1,0.04,0.1,True
24,1,0.04,0.2,True
24,2,0.0769230769231,0.05,False
24,2,0.0769230769231,0.1,True
24,2,0.0769230769231,0.2,True
24,3,0.111111111111,0.05,False
24,3,0.111111111111,0.1,False
24,3,0.111111111111,0.2,True
24,5,0.172413793103,0.05,False
24,5,0.172413793103,0.1,False
